일련번호,정산지역코드,정류장ID,버스정류장명,정류장x위치값,정류장Y위치값,행정구역코드,,승차거래내역(환승포함),
1,26001,6800001,조치원역,12715.3348,3628.5228,3611051000,,,2824
2,26001,6800002,조치원전통시장,12717.6892,3636.1428,3611025000,,,660
3,26001,6800003,죽림리,12716.6361,3633.261,0,,,x
4,26001,"6,800,004",번암리,12721.983,3631.802,0,,,10
5,26001,6800005,번암아파트,12712.8568,3639.7452,3611038000,,,169
6,26001,6800006,월하리,12712.6534,3640.3218,3611038000,,,
7,26001,6800007,월하리(항공학교),12712.8622,3639.7566,3611038000,,,
8,26001,6800008,세종장례식장입구,12717.2668,3634.2024,0,,,
9,26001,6800009,세종교통,12717.934,3635.445,0,,,
10,26001,6800010,봉암리,12717.8141,3636.0702,0,,,
11,26001,6800011,대원아파트,12715.6702,3628.6926,3611051000,,,
12,26001,6800012,실광주유소,12716.764,3628.1868,3611051000,,,
13,26001,6800013,보통2리,12717.2445,3626.6192,0,,,
14,26001,6800014,연기리,12717.2913,3626.4315,0,,,
15,26001,6800015,연기면사무소,12720.954,3632.126,3611032000,,,
16,26001,6800016,도담동(도램마을),12716.886,3628.109,0,,,
17,26001,6800017,정부세종청사북측,12714.998,3630.5032,3611053000,,,
18,26001,6800018,정부세종청사남측,12714.2013,3631.2005,3611053000,,,
19,26001,6800019,성남고등학교,12714.1962,3631.2148,3611051000,,,
20,26001,6800020,나성동,12715.1356,3631.1274,3611053000,,,
21,26001,6800021,첫마을임시터미널,12715.0372,3630.882,3611053000,,,
22,26001,6800022,LH공사,12714.988,3630.627,3611053000,,,
23,26001,6800023,대평리,12714.9773,3630.3889,3611053000,,,
24,26001,6800024,대평리,12715.0102,3630.2627,3611053000,,,
25,26001,6800025,충남대의료원(LH공사),12714.0971,3631.1911,3611053000,,,
26,26001,6800026,첫마을임시터미널,12713.8678,3631.0424,3611053000,,,
27,26001,6800027,나성동,12713.7627,3630.8087,3611053000,,,
28,26001,6800028,성남고등학교,12713.7777,3630.6338,3611053000,,,
29,26001,6800029,정부세종청사남측,12713.888,3630.4222,3611053000,,,
30,26001,6800030,정부세종청사북측,12714.0866,3630.2596,3611053000,,,
31,26001,6800031,도담동(도램마을),12714.1161,3630.2567,3611053000,,,
32,26001,6800032,연기리,12713.9021,3630.4296,3611053000,,,
33,26001,6800033,보통2리,12713.7935,3630.6408,3611053000,,,
34,26001,6800034,실광주유소,12713.7795,3630.8098,3611053000,,,
35,26001,6800035,대원아파트,12713.8816,3631.034,3611053000,,,
36,26001,6800036,대원아파트후문,12714.0962,3631.1759,3611053000,,,
37,26001,6800037,봉암리,12714.1591,3630.0261,3611053000,,,
38,26001,6800038,세종교통,12714.1789,3630.068,3611053000,,,
39,26001,6800039,월암교,12715.0417,3629.3064,3611051000,,,
40,26001,6800040,월하리(항공학교),12714.1402,3626.268,3611034000,,,
41,26001,6800041,월하리,12715.318,3627.5232,3611034000,,,
42,26001,6800042,번암아파트,12715.9864,3627.6582,3611034000,,,
43,26001,6800043,죽림리,12713.9554,3626.745,3611034000,,,
44,26001,6800044,효성세종병원,12717.2543,3634.2029,3611036000,,,
45,26001,6800045,조치원전통시장,12716.2728,3630.2338,0,,,
46,26001,6800046,조치원역,12716.6303,3630.1331,0,,,
47,26001,6800047,연기리,12716.4003,3630.3638,0,,,
48,26001,6800048,연기면사무소,12710.497,3637.6134,0,,,
49,26001,6800049,월산리,12710.6488,3636.9642,3611037000,,,
50,26001,6800050,양화1리,12710.626,3638.5896,3611037000,,,
51,26001,6800051,양화리,12717.3022,3636.3918,3611025000,,,
52,26001,6800052,양화3리,12717.0592,3636.3156,3611025000,,,
